Div;Date;HomeTeam;AwayTeam;KEY;Home_Team Size;Home_Market Value total;Home_Market Value avg;Away_Team Size;Away_Market Value total;Away_Market Value avg;HS (Home Team Shots);AS (Away Team Shots);HAST (Home Team Shots on Target);AST (Away Team Shots on Target);HF (Home Team Fouls Committed);AF (Away Team Fouls Committed);HC (Home Team Corners);AC (Away Team Corners);HY (Home Team Yellow Cards);AY (Away Team Yellow Cards);HR (Home Team Red Cards);AR (Away Team Red Cards);Home #Win;Home #Draw;Home #Defeat;Away #Win;Away #Draw;Away #Defeat;Home goals scored;Home goals collected;Away goals scored;Away goals collected;Home Position in the table;Away Position in the table
D1;01.09.2018;FC Augsburg;Borussia Mönchengladbach;01.09.18_FC Augsburg_Borussia Mönchengladbach;31;100,80;3,25;30;209,65;6,99;18;7;7;2;12;12;9;4;1;2;0;0;1;0;0;1;0;0;2;1;2;0;13;7
D1;01.09.2018;VfB Stuttgart;FC Bayern München;01.09.18_VfB Stuttgart_FC Bayern München;23;59,40;2,58;23;827,80;35,99;4;20;0;6;3;5;0;12;0;0;0;0;0;0;1;1;0;0;0;1;3;1;3;9
D1;01.09.2018;1. FC Nürnberg;FSV Mainz 05;01.09.18_1. FC Nürnberg_FSV Mainz 05;27;28,28;1,05;27;101,75;3,77;19;6;4;1;10;11;5;1;2;2;0;0;0;0;1;1;0;0;0;1;1;0;18;11
D1;01.09.2018;1899 Hoffenheim;SC Freiburg;01.09.18_1899 Hoffenheim_SC Freiburg;30;214,45;7,15;29;85,65;2,95;20;9;7;4;13;14;6;4;1;2;0;0;0;0;1;0;0;1;1;3;0;2;15;16
D1;01.09.2018;Bayer 04 Leverkusen;VfL Wolfsburg;01.09.18_Bayer 04 Leverkusen_VfL Wolfsburg;26;377,20;14,51;31;149,05;4,81;16;12;3;5;13;13;5;3;3;3;0;0;0;0;1;1;0;0;0;2;2;1;16;5
D1;01.09.2018;Eintracht Frankfurt;Werder Bremen;01.09.18_Eintracht Frankfurt_Werder Bremen;36;147,90;4,11;33;118,40;3,59;5;11;1;6;6;11;8;3;1;2;1;0;1;0;0;0;1;0;2;0;1;1;5;3
D1;02.09.2018;RB Leipzig;Fortuna Düsseldorf;02.09.18_RB Leipzig_Fortuna Düsseldorf;24;316,00;13,17;30;38,95;1,30;23;14;7;8;11;15;3;3;1;4;0;0;0;0;1;0;0;1;1;4;1;2;13;2
D1;02.09.2018;FC Schalke 04;Hertha BSC Berlin;02.09.18_FC Schalke 04_Hertha BSC Berlin;28;256,40;9,16;35;135,53;3,87;16;5;4;3;16;15;9;0;1;1;1;0;0;0;1;1;0;0;1;2;1;0;9;1
D1;14.09.2018;Borussia Dortmund;Eintracht Frankfurt;14.09.18_Borussia Dortmund_Eintracht Frankfurt;29;412,30;14,22;36;147,90;4,11;20;15;11;4;19;23;14;5;2;3;0;0;1;1;0;1;0;1;4;1;1;4;4;9
D1;15.09.2018;Fortuna Düsseldorf;1899 Hoffenheim;15.09.18_Fortuna Düsseldorf_1899 Hoffenheim;30;38,95;1,30;30;214,85;7,16;17;26;9;10;21;40;7;11;2;6;0;0;0;1;1;1;0;1;2;1;4;4;12;10
D1;15.09.2018;FC Bayern München;Bayer 04 Leverkusen;15.09.18_FC Bayern München_Bayer 04 Leverkusen;23;827,80;35,99;26;377,20;14,51;34;16;10;4;6;22;16;6;1;3;0;1;2;0;0;0;0;2;4;2;2;7;1;16
D1;15.09.2018;FSV Mainz 05;FC Augsburg;15.09.18_FSV Mainz 05_FC Augsburg;31;101,95;3,29;31;100,80;3,25;30;27;10;11;24;26;11;9;2;2;0;0;1;1;0;1;1;0;2;3;1;3;8;6
D1;15.09.2018;Borussia Mönchengladbach;FC Schalke 04;15.09.18_Borussia Mönchengladbach_FC Schalke 04;30;209,65;6,99;28;256,40;9,16;32;24;11;10;15;23;15;8;1;7;0;1;1;1;0;0;0;2;6;2;2;0;5;15
D1;15.09.2018;RB Leipzig;Hannover 96;15.09.18_RB Leipzig_Hannover 96;24;316,00;13,17;26;34,13;1,31;38;29;13;12;23;18;7;15;5;4;0;0;0;1;1;0;2;0;2;3;0;3;14;11
D1;15.09.2018;VfL Wolfsburg;Hertha BSC Berlin;15.09.18_VfL Wolfsburg_Hertha BSC Berlin;30;148,25;4,94;35;135,53;3,87;26;14;13;8;26;28;14;2;6;3;0;0;2;0;0;2;0;0;3;3;2;0;2;3
D1;16.09.2018;Werder Bremen;1. FC Nürnberg;16.09.18_Werder Bremen_1. FC Nürnberg;33;118,40;3,59;27;28,28;1,05;29;23;5;5;22;15;8;11;2;2;0;0;1;1;0;0;1;1;4;0;1;3;6;13
D1;16.09.2018;SC Freiburg;VfB Stuttgart;16.09.18_SC Freiburg_VfB Stuttgart;29;85,65;2,95;23;59,40;2,58;34;23;11;9;20;17;11;11;4;6;1;0;0;0;2;0;0;2;2;4;3;2;16;18
D1;21.09.2018;VfB Stuttgart;Fortuna Düsseldorf;21.09.18_VfB Stuttgart_Fortuna Düsseldorf;24;59,40;2,48;30;38,95;1,30;14;33;1;15;11;34;2;12;0;6;0;0;0;1;2;1;1;1;4;4;4;2;16;9
D1;22.09.2018;1899 Hoffenheim;Borussia Dortmund;22.09.18_1899 Hoffenheim_Borussia Dortmund;30;214,85;7,16;29;412,30;14,22;37;16;12;5;25;15;10;5;3;1;0;1;1;0;2;2;1;0;5;6;7;2;11;2
