KEY;FTHG (Full Time Home Team Goals9;FTAG (Full Time Away Team Goals);FTR (Full Time Result);HTHG (Half Time Home Team Goals);HTAG (Half Time Away Team Goals);HTR (Half Time Result)
06.04.19_VfB Stuttgart_1. FC Nürnberg;1;1;Draw;0;1;Away Win
06.04.19_VfL Wolfsburg_Hannover 96;3;1;Home Win;1;1;Draw
07.04.19_FC Augsburg_1899 Hoffenheim;0;4;Away Win;0;1;Away Win
07.04.19_Borussia Mönchengladbach_Werder Bremen;1;1;Draw;0;0;Draw
12.04.19_1. FC Nürnberg_FC Schalke 04;1;1;Draw;0;0;Draw
13.04.19_Borussia Dortmund_FSV Mainz 05;2;1;Home Win;2;0;Home Win
13.04.19_Hannover 96_Borussia Mönchengladbach;0;1;Away Win;0;0;Draw
13.04.19_RB Leipzig_VfL Wolfsburg;2;0;Home Win;2;0;Home Win
13.04.19_VfB Stuttgart_Bayer 04 Leverkusen;0;1;Away Win;0;0;Draw
13.04.19_Werder Bremen_SC Freiburg;2;1;Home Win;0;0;Draw
14.04.19_Eintracht Frankfurt_FC Augsburg;1;3;Away Win;1;2;Away Win
14.04.19_Fortuna Düsseldorf_FC Bayern München;1;4;Away Win;0;2;Away Win
14.04.19_1899 Hoffenheim_Hertha BSC Berlin;2;0;Home Win;1;0;Home Win
20.04.19_FC Augsburg_VfB Stuttgart;6;0;Home Win;3;0;Home Win
20.04.19_FC Bayern München_Werder Bremen;1;0;Home Win;0;0;Draw
20.04.19_Bayer 04 Leverkusen_1. FC Nürnberg;2;0;Home Win;0;0;Draw
20.04.19_FSV Mainz 05_Fortuna Düsseldorf;3;1;Home Win;1;1;Draw
20.04.19_Borussia Mönchengladbach_RB Leipzig;1;2;Away Win;0;1;Away Win
20.04.19_FC Schalke 04_1899 Hoffenheim;2;5;Away Win;0;2;Away Win
21.04.19_SC Freiburg_Borussia Dortmund;0;4;Away Win;0;1;Away Win
21.04.19_Hertha BSC Berlin_Hannover 96;0;0;Draw;0;0;Draw
22.04.19_VfL Wolfsburg_Eintracht Frankfurt;1;1;Draw;0;0;Draw
26.04.19_FC Augsburg_Bayer 04 Leverkusen;1;4;Away Win;1;1;Draw
27.04.19_Borussia Dortmund_FC Schalke 04;2;4;Away Win;1;2;Away Win
27.04.19_Eintracht Frankfurt_Hertha BSC Berlin;0;0;Draw;0;0;Draw
27.04.19_Fortuna Düsseldorf_Werder Bremen;4;1;Home Win;2;1;Home Win
27.04.19_Hannover 96_FSV Mainz 05;1;0;Home Win;0;0;Draw
27.04.19_RB Leipzig_SC Freiburg;2;1;Home Win;1;0;Home Win
27.04.19_VfB Stuttgart_Borussia Mönchengladbach;1;0;Home Win;0;0;Draw
28.04.19_1899 Hoffenheim_VfL Wolfsburg;1;4;Away Win;1;1;Draw
28.04.19_1. FC Nürnberg_FC Bayern München;1;1;Draw;0;0;Draw
03.05.19_FSV Mainz 05_RB Leipzig;3;3;Draw;1;2;Away Win
04.05.19_FC Bayern München_Hannover 96;3;1;Home Win;2;0;Home Win
04.05.19_Hertha BSC Berlin_VfB Stuttgart;3;1;Home Win;2;0;Home Win
04.05.19_Borussia Mönchengladbach_1899 Hoffenheim;2;2;Draw;0;1;Away Win
04.05.19_Werder Bremen_Borussia Dortmund;2;2;Draw;0;2;Away Win
